agent_id,socioeconomic_status,household_id
377395646011065994,0.4789574972448252,6659385116788552091
1331337217756223520,0.9819185823569387,8675693265326328229
8936380419968200465,0.4334141548473894,4024277559071678935
2973465751622406642,0.3323256901989729,3869365948454151893
4747225764910733003,0.06831107709069263,8742297127985378901
8619188033427004329,1.4822057056886262,3891241611985988359
4267444925165472401,0.28642188576951827,6955057829862206057
1841438543303805407,0.2713937514873623,2778870271121337574
4962736117375168396,1.0933838316958004,2185675649367336376
2435061604847313476,1.3937786144584048,3891241611985988359
7564137863438207945,0.2667682218393309,1363009372705260161
8244504588010021164,0.8557269047999239,7990744535575880550
6588332946494141374,0.13333430490534542,6745489173170473845
8392576148300243067,5.786126625113313,2185675649367336376
4573844926154063248,2.697791148552432,1363009372705260161
7196931041696541079,2.3154270802912387,6866893223315419364
6431764132967450727,1.3940295553489714,1798191232584259801
1227879996603220239,0.3206279957697116,8584440785429754552
9083496643748096552,3.346618683720219,1525343331265488212
2692582661169847277,0.4801976671689232,6955057829862206057
7440516069718486950,1.3596753913367823,6745489173170473845
3313194436924406906,0.35644773785670625,1363009372705260161
7355837139861916807,0.2651074355486985,6659385116788552091
3116252428543188097,1.132851301792456,610300207144589015
1357832669882069357,0.6492413319504825,5542631463289407409
5805540759860874848,0.12950461196982951,5650752987940813156
8414992247841150427,1.2495512564659292,4547088006640432302
6149713544287054524,0.32123061963236643,8742297127985378901
4563337214085188135,0.8643841014497112,2185675649367336376
4828437642555904600,0.8760551337268567,7092686787300517935
7395654804986618809,0.7410208447230336,3891241611985988359
3625772986713303192,2.22960530882044,3869365948454151893
2080152517906537448,0.7102758090165079,6659385116788552091
521926711812599908,0.513418409960484,7340821949535805887
9165813408051959611,0.9741490185976592,4547088006640432302
6189495228877113372,0.7982427597210875,5650752987940813156
8097218149111033006,1.8275691339646327,6955057829862206057
4763723133835366409,0.5541610663398924,8742297127985378901
7379004279186185702,1.0679192736617151,2704533456877828103
5209868649999181592,0.20183100080312186,7990744535575880550
